file,radius_object,radius_device,angle,centre_diff,centre_diff_x,centre_diff_y,centre_diff_z,x_normal_device,y_normal_device,z_normal_device,x_normal_object,y_normal_object,z_normal_object
3-M8All.csv,0.03352222642664981,0.6272844433594733,3.4070593780365908,0.09101897736314471,0.008518593765535848,0.09049759126111345,-0.0046982737709571065,0.002735852226393023,0.9999690683481021,0.0073741073780595485,-0.048552722267966496,0.9985633838432315,-0.02266719232558341
3-M4All.csv,0.04821862977917113,0.6171227350721766,178.49871202506358,0.09794155161005101,0.0013561039847874434,0.09331259297381722,0.029723198116445082,0.004113328533462648,0.9999788431502734,0.005039224168038982,0.012073834474425364,-0.9998059807694476,0.015563525909240941
3-M1All.csv,0.022119452043045478,0.6251589838338878,3.829595834283019,0.09246885190066947,0.009350343771841574,0.09059276165367058,0.016000349344235,0.004247843513178822,0.9999884935387335,0.0022290391701154976,-0.05237054647226902,0.9980750921870594,-0.03321801044597625
3-M13All.csv,0.044477057693685575,0.6089505038626658,0.4933852509967705,0.09929514993473992,-0.017543506128127162,0.09161250251123021,0.03404264350670616,-0.00018667614010022123,0.9999981819944003,0.0018976722355906906,0.001825423481990157,0.9999773702122113,-0.006475097882012426
3-M11All.csv,0.05119284514811349,0.6044994506076518,1.6489670671949486,0.09971926310246165,0.0015062276160709431,0.09582453308444516,0.02755579015768972,0.005238644480981144,0.9999862645922394,-0.00016501775953983537,-0.023431718624571992,0.9997219321643387,-0.002648190306807756
3-M3All.csv,0.045618759934718575,0.6149897301231374,2.441411790489482,0.10115826504427641,0.015078603795964707,0.09792386779808715,0.020409468630886662,-0.0001220331137389919,0.9999996554604094,0.0008210889004877181,-0.040244193059240485,0.9990988118367251,-0.013489592708988172
3-M15All.csv,0.025533060347694106,0.6159826913351965,176.58780675417265,0.09685212374144461,-4.813351911117647e-05,0.09487650048091312,0.019462302353209116,0.0034009899649444747,0.999992913116929,0.0016146154889769531,0.03834988035419768,-0.9984305839211178,0.040812446235856364
3-M7All.csv,0.05045009402113421,0.6039556294413143,2.1635334957493324,0.09691324209193151,0.0018125428457353154,0.09328032504788286,0.026223503582912366,0.009408118855625818,0.9999474123215704,0.004081652973295286,-0.024741839217877468,0.9996215647428042,-0.012023672203826812
3-M9All.csv,0.021995978138124973,0.623261001306516,2.777276385524282,0.09599599294004334,-0.002518999950738343,0.09303788217824605,0.023512502622643927,0.005377777790616845,0.9999781748288064,0.00383788640851241,-0.02734472671507357,0.9991167443199784,-0.03190606745314776
3-M5All.csv,0.04774404586424104,0.6034472590806155,2.1303152250575534,0.09719613702922993,0.01577029282685058,0.0926615875947352,0.024743021278401778,0.004117920408325907,0.9999876920030257,0.002767412866172465,-0.03258444289075949,0.9994640447372192,-0.0031428265966551663
3-R6All.csv,0.02439940711241292,0.6193671744947803,2.732975170290477,0.14452155609645226,-0.031806569355131556,0.1409518328570547,-0.002720870565483202,0.006796343578506931,0.9999768919847518,-0.0001587780802136397,0.03555530821908409,0.9986500417673789,0.03786705871148937
3-R10All.csv,0.025061533754748788,0.6354546115519757,0.5700561748162651,0.1466118415035657,-0.015024195092711606,0.14582181439581188,-0.0023030582268370736,0.0012138691509368644,0.9999935912878265,-0.003368071400651303,0.002167289966338602,0.9999095843838948,-0.013271243778476247
3-R4All.csv,0.027671408562967906,0.6436792637530473,0.7286220034800378,0.14581744934067656,-0.021329889277354075,0.14380478117629814,-0.011311466150486393,0.004688525582310457,0.9999869379045004,-0.0020351285573869623,0.010783196324563232,0.9999002173464455,0.00912567956685183
